Song Group,Video Title,Video ID,URL
Georgia On My Mind,1996-1997 Vermilion High School Marching Band - Georgia On My Mind,pHGLcZ0h_Zg,https://www.youtube.com/watch?v=pHGLcZ0h_Zg
Georgia On My Mind,2013 Vermilion Sailor Alumni Band - Georgia On My Mind,hx3Ub_qLgsQ,https://www.youtube.com/watch?v=hx3Ub_qLgsQ
Gimme Some USA,2005-2006 Vermilion Sailor Marching Band - Gimme Some USA,Bofw_v7Ijsw,https://www.youtube.com/watch?v=Bofw_v7Ijsw
Gimme Some USA,2015 Vermilion Sailor Alumni Band - Gimme Some USA,3TKhnPPE6Z8,https://www.youtube.com/watch?v=3TKhnPPE6Z8
Gimme Some USA,1997-1998 Vermilion Sailor Marching Band - Gimme Some USA,38UmULAUcfA,https://www.youtube.com/watch?v=38UmULAUcfA
Gimme Some USA,2009 Vermilion Sailor Alumni Band - Gimme Some USA,lAy2mOeyF7Q,https://www.youtube.com/watch?v=lAy2mOeyF7Q
Go Team Go,1995-1996 Vermilion Sailor Marching Band - Go Team Go,jihc3PO80eM,https://www.youtube.com/watch?v=jihc3PO80eM
Go Team Go,1996-1997 Vermilion High School Marching Band  - Go Team Go,A5qL0_KvoSQ,https://www.youtube.com/watch?v=A5qL0_KvoSQ
Go Team Go,1994-1995 Vermilion Sailor Marching Band - Go Team Go - Stands,gzp2p1jQCLM,https://www.youtube.com/watch?v=gzp2p1jQCLM
Gonna Make You Sweat,1991-1992 Vermilion Sailor Marching Band - Gonna Make You Sweat,gxecyURUpZ0,https://www.youtube.com/watch?v=gxecyURUpZ0
Groovy Kind of Love,2002-2003 Vermilion Sailor Marching Band - Groovy Kind of Love,d8JtjnEmjbk,https://www.youtube.com/watch?v=d8JtjnEmjbk
Habanera,2003-2004 Vermilion Sailor Marching Band - Habanera - Full Show,rSXM48365Fs,https://www.youtube.com/watch?v=rSXM48365Fs
Habanera,2003-2004 Vermilion Sailor Marching Band - Habanera,nfkQGg_Hyio,https://www.youtube.com/watch?v=nfkQGg_Hyio
Hard To Say I'm Sorry,2000-2001 Vermilion Sailor Marching Band - Hard to Say I'm Sorry,cFQxzhqam1Q,https://www.youtube.com/watch?v=cFQxzhqam1Q
Havana Express,2012 Vermilion Sailor Alumni Band - Havana Express,pxmltXyCoiM,https://www.youtube.com/watch?v=pxmltXyCoiM
Hey Pachuco,2008 Vermilion Sailor Alumni Band - Hey Pachuco!,ckRlOnRuoL4,https://www.youtube.com/watch?v=ckRlOnRuoL4
The Hey Song,2003-2004 Vermilion Sailor Marching Band -- Show 6 - IThe Hey Song,MkcT9F4mhCY,https://www.youtube.com/watch?v=MkcT9F4mhCY
The Hey Song,1997-1998 Vermilion Sailor Marching Band - Hey Song - Portion,RFC00DtmvIc,https://www.youtube.com/watch?v=RFC00DtmvIc
The Hey Song,1995-1996 Vermilion Sailor Marching Band - The Hey Song - In Stands,5VVWU8Jg1q0,https://www.youtube.com/watch?v=5VVWU8Jg1q0
The Hey Song,2017-2018 Vermilion High School Marching Band - Hey Song - Fox News,eYDyNee-2QQ,https://www.youtube.com/watch?v=eYDyNee-2QQ
